#  L TT            EE            BB            TE            PP            PT            PE           
 155 4.5443264e+03 1.0711080e+00 8.0265587e-03 -4.5992098e+01 7.2994805e-08 2.1086562e-04 -1.0485248e-06
 156 4.5759877e+03 1.0641890e+00 8.1396818e-03 -4.5900773e+01 7.2581402e-08 2.0903740e-04 -1.0335996e-06
 157 4.6074055e+03 1.0568901e+00 8.2538113e-03 -4.5783983e+01 7.2171383e-08 2.0722816e-04 -1.0184775e-06
 158 4.6385867e+03 1.0492408e+00 8.3689491e-03 -4.5641505e+01 7.1764708e-08 2.0543777e-04 -1.0031795e-06
 159 4.6695160e+03 1.0412413e+00 8.4850974e-03 -4.5473113e+01 7.1361399e-08 2.0366620e-04 -9.8772758e-07
 160 4.7001856e+03 1.0329139e+00 8.6022577e-03 -4.5278657e+01 7.0961383e-08 2.0191324e-04 -9.7214234e-07
 161 4.7305727e+03 1.0242734e+00 8.7204317e-03 -4.5057839e+01 7.0564656e-08 2.0017886e-04 -9.5644551e-07
 162 4.7606695e+03 1.0153347e+00 8.8396202e-03 -4.4810582e+01 7.0171212e-08 1.9846296e-04 -9.4065840e-07
 163 4.7904681e+03 1.0061276e+00 8.9598245e-03 -4.4536515e+01 6.9780997e-08 1.9676536e-04 -9.2480200e-07
 164 4.8199459e+03 9.9665203e-01 9.0810448e-03 -4.4235634e+01 6.9394006e-08 1.9508604e-04 -9.0889795e-07
 165 4.8491022e+03 9.8693041e-01 9.2032817e-03 -4.3907643e+01 6.9010218e-08 1.9342484e-04 -8.9296736e-07
 166 4.8779220e+03 9.7698498e-01 9.3265350e-03 -4.3552465e+01 6.8629611e-08 1.9178171e-04 -8.7703174e-07
 167 4.9063973e+03 9.6683801e-01 9.4508045e-03 -4.3169951e+01 6.8252155e-08 1.9015648e-04 -8.6111207e-07
 168 4.9345202e+03 9.5651177e-01 9.5760894e-03 -4.2760172e+01 6.7877831e-08 1.8854910e-04 -8.4522986e-07
 169 4.9622828e+03 9.4602855e-01 9.7023892e-03 -4.2322978e+01 6.7506631e-08 1.8695949e-04 -8.2940651e-07
 170 4.9896774e+03 9.3540324e-01 9.8297021e-03 -4.1858295e+01 6.7138503e-08 1.8538745e-04 -8.1366291e-07
 171 5.0166885e+03 9.2466550e-01 9.9580270e-03 -4.1366046e+01 6.6773442e-08 1.8383294e-04 -7.9802054e-07
 172 5.0433232e+03 9.1383760e-01 1.0087362e-02 -4.0846231e+01 6.6411435e-08 1.8229589e-04 -7.8250087e-07
 173 5.0695588e+03 9.0294182e-01 1.0217704e-02 -4.0298773e+01 6.6052436e-08 1.8077614e-04 -7.6712491e-07
 174 5.0953874e+03 8.9200043e-01 1.0349052e-02 -3.9723673e+01 6.5696441e-08 1.7927359e-04 -7.5191393e-07
 175 5.1208086e+03 8.8105045e-01 1.0481401e-02 -3.9121074e+01 6.5343436e-08 1.7778818e-04 -7.3688938e-07
 176 5.1458072e+03 8.7010680e-01 1.0614750e-02 -3.8490906e+01 6.4993383e-08 1.7631976e-04 -7.2206695e-07
 177 5.1703760e+03 8.5920654e-01 1.0749094e-02 -3.7833172e+01 6.4646242e-08 1.7486797e-04 -7.0744021e-07
 178 5.1945007e+03 8.4837204e-01 1.0884430e-02 -3.7147954e+01 6.4302014e-08 1.7343254e-04 -6.9299770e-07
 179 5.2181815e+03 8.3762566e-01 1.1020752e-02 -3.6435260e+01 6.3960656e-08 1.7201309e-04 -6.7872750e-07
 180 5.2414114e+03 8.2700447e-01 1.1158057e-02 -3.5695244e+01 6.3622128e-08 1.7060924e-04 -6.6461781e-07
 181 5.2641759e+03 8.1653818e-01 1.1296340e-02 -3.4928060e+01 6.3286430e-08 1.6922074e-04 -6.5065720e-07
 182 5.2864754e+03 8.0625652e-01 1.1435595e-02 -3.4133792e+01 6.2953506e-08 1.6784715e-04 -6.3683357e-07
 183 5.3083029e+03 7.9618181e-01 1.1575816e-02 -3.3312592e+01 6.2623344e-08 1.6648818e-04 -6.2313542e-07
 184 5.3296438e+03 7.8635114e-01 1.1716998e-02 -3.2464691e+01 6.2295923e-08 1.6514350e-04 -6.0955103e-07
 185 5.3504985e+03 7.7680157e-01 1.1859134e-02 -3.1590023e+01 6.1971201e-08 1.6381273e-04 -5.9606860e-07
 186 5.3708526e+03 7.6755543e-01 1.2002216e-02 -3.0688963e+01 6.1649143e-08 1.6249552e-04 -5.8267635e-07
 187 5.3907065e+03 7.5864315e-01 1.2146239e-02 -2.9761595e+01 6.1329745e-08 1.6119155e-04 -5.6936264e-07
 188 5.4100531e+03 7.5010473e-01 1.2291194e-02 -2.8808220e+01 6.1012950e-08 1.5990047e-04 -5.5611576e-07
 189 5.4288780e+03 7.4197132e-01 1.2437074e-02 -2.7828995e+01 6.0698759e-08 1.5862195e-04 -5.4292400e-07
 190 5.4471815e+03 7.3427702e-01 1.2583870e-02 -2.6824223e+01 6.0387131e-08 1.5735565e-04 -5.2977571e-07
 191 5.4649566e+03 7.2705370e-01 1.2731574e-02 -2.5794206e+01 6.0078025e-08 1.5610118e-04 -5.1665894e-07
 192 5.4821890e+03 7.2033620e-01 1.2880177e-02 -2.4739027e+01 5.9771449e-08 1.5485827e-04 -5.0356231e-07
 193 5.4988715e+03 7.1415785e-01 1.3029669e-02 -2.3658990e+01 5.9467326e-08 1.5362649e-04 -4.9047380e-07
 194 5.5150120e+03 7.0855419e-01 1.3180041e-02 -2.2554544e+01 5.9165671e-08 1.5240560e-04 -4.7738203e-07
 195 5.5305959e+03 7.0356077e-01 1.3331284e-02 -2.1425921e+01 5.8866451e-08 1.5119520e-04 -4.6427511e-07
 196 5.5456238e+03 6.9921311e-01 1.3483385e-02 -2.0273569e+01 5.8569603e-08 1.4999493e-04 -4.5114131e-07
 197 5.5600958e+03 6.9554820e-01 1.3636335e-02 -1.9097794e+01 5.8275141e-08 1.4880451e-04 -4.3796909e-07
 198 5.5740124e+03 6.9260155e-01 1.3790123e-02 -1.7898971e+01 5.7983020e-08 1.4762355e-04 -4.2474666e-07
 199 5.5873519e+03 6.9040868e-01 1.3944737e-02 -1.6677405e+01 5.7693210e-08 1.4645171e-04 -4.1146229e-07
 200 5.6001292e+03 6.8900508e-01 1.4100165e-02 -1.5433621e+01 5.7405685e-08 1.4528866e-04 -3.9810439e-07
 201 5.6123300e+03 6.8842844e-01 1.4256396e-02 -1.4167846e+01 5.7120420e-08 1.4413412e-04 -3.8466372e-07
 202 5.6239470e+03 6.8871422e-01 1.4413416e-02 -1.2880679e+01 5.6837409e-08 1.4298799e-04 -3.7114109e-07
 203 5.6349580e+03 6.8989933e-01 1.4571214e-02 -1.1572345e+01 5.6556605e-08 1.4185019e-04 -3.5753968e-07
